,company_name,rating,reviews,salary,n_interviews,n_jobs,n_photos
231,GeBBS Healthcare Solutions,3.7,2.4k,10.4k,113,31,7
232,Wipro Consumer Care & Lighting,3.9,2.4k,3k,43,9,1
233,Ceat Tyres,4.1,2.4k,11.3k,120,15,4
234,Kotak Mahindara Life Insurance,3.9,2.4k,11k,157,159,--
235,Dabur,3.8,2.4k,7.5k,158,27,3
236,Axis Direct,3.9,2.4k,6.2k,62,14,--
237,JK Cement,4.2,2.4k,7.7k,180,--,3
238,Conduent,3.6,2.4k,18.7k,135,95,10
239,InterGlobe Aviation,3.6,2.4k,11.7k,289,55,4
240,Synechron,3.7,2.4k,26.3k,230,51,10
241,Shoppers Stop,4.1,2.3k,7.1k,78,1,8
242,Birlasoft,3.8,2.4k,27.5k,208,323,8
243,ACC,4.0,2.3k,9.3k,145,--,4
244,Lenskart,3.3,2.4k,9.3k,205,129,6
245,HARMAN,3.8,2.3k,23.8k,173,5,3
246,ArcelorMittal Nippon Steel,4.1,2.3k,9.2k,154,9,2
247,Reliance SMSL,4.0,2.3k,5.7k,132,--,3
248,GATI-KWE,4.0,2.3k,5.8k,78,10,5
249,Indiabulls Home Loans,3.9,2.3k,8.9k,85,1,2
250,KPIT Technologies,3.6,2.3k,20k,186,42,13
251,PepsiCo,4.2,2.3k,9.5k,132,194,6
252,UPL,4.2,2.3k,10k,130,44,2
253,S&P Global,4.2,2.3k,17.2k,168,16,--
254,Torrent Pharmaceuticals,4.0,2.3k,10k,89,15,3
255,Dilip Buildcon,4.1,2.3k,7.8k,106,8,14
256,RSPL Group,4.2,2.3k,8.4k,137,21,5
257,Tech Mahindra Business Services,3.5,2.3k,12.1k,230,1,2
258,Square Yards,3.9,2.2k,7.7k,154,613,35
259,Titan Company,4.4,2.3k,7.9k,102,10,14
260,Wipro Enterprises Ltd,3.9,2.3k,6.3k,124,--,--
261,TVS Credit,4.5,2.2k,5.9k,73,21,2
262,Tata AIG,4.2,2.2k,10.1k,110,58,6
263,EY Global Delivery Services ( EY GDS),3.7,2.3k,13.3k,379,--,16
264,IDFC FIRST Bharat,4.6,2.2k,3.8k,88,--,1
265,Aditya Birla Sun Life Insurance,4.2,2.2k,7.5k,91,4,23
266,Bajaj Electricals,4.1,2.2k,7.8k,104,27,9
267,Alstom Transportation,3.9,2.2k,11.3k,173,96,11
268,Statestreet HCL Services,3.3,2.2k,17.3k,180,--,--
269,IGT Solutions,3.4,2.2k,10.6k,149,144,14
270,Afcons Infrastructure,4.4,2.2k,7.1k,166,--,9
271,Apollo Tyres,4.1,2.2k,8.8k,102,13,5
272,Mankind Pharma,4.1,2.2k,7.8k,145,31,18
273,Simplex Infrastructures,3.3,2.1k,6.7k,51,--,--
274,Domino's Pizza,4.0,2.2k,4.4k,67,2,3
275,Suzlon Group,4.2,2.1k,7.6k,88,13,4
276,Capita,3.8,2.1k,14.1k,117,44,--
277,Zensar Technologies,3.8,2.1k,25.8k,173,14,24
278,Flex,4.2,2.1k,17.8k,125,12,1
279,State Street Corporation,3.9,2.1k,22.4k,142,37,10
280,Max Healthcare,4.1,2.1k,8.1k,93,107,17
281,KocharTech,4.1,2.1k,3.6k,55,82,6
282,Huawei Technologies,4.0,2.1k,11k,84,--,1
283,Bajaj Allianz General Insurance,4.0,2.1k,8.6k,69,22,2
284,Tata Technologies,3.8,2.1k,19.6k,167,118,10
285,Croma,4.1,2.1k,6.8k,78,20,3
286,I Process Services,3.9,2.1k,5.1k,69,10,--
287,McDonald's,4.2,2.1k,4.7k,91,2,3
288,Taj Hotels Resorts and Palaces,4.2,2.1k,5.2k,84,39,3
289,Grasim Industries,4.1,2.1k,8.8k,144,19,5
290,HDFC Sales,4.1,2.1k,7.6k,127,34,--
291,Nestle,4.2,2.1k,8.7k,187,50,10
292,ElasticRun,3.4,2.1k,6k,217,15,14
293,UNO Minda,4.1,2.1k,8.4k,119,12,3
294,Landmark Group,4.0,2.1k,8.6k,99,40,7
295,Walmart,4.0,2.1k,16.5k,239,303,2
296,AGS Health,4.0,2.1k,9.4k,115,19,9
297,Lava International,4.1,2k,4.8k,53,6,1
298,Nokia,4.2,2.1k,18.5k,187,248,14
299,Blue Dart Express,4.1,2k,6k,80,--,2
300,Patanjali Ayurved,4.1,2k,6.8k,83,--,2
301,Tractors and Farm Equipment,4.1,2k,8.1k,79,22,4
302,G4S,4.1,2k,4.6k,71,92,10
303,Fortis Healthcare,4.1,2k,6.8k,97,910,--
304,Capgemini Engineering,3.6,2k,20k,229,96,3
305,Societe Generale,3.9,2k,19.6k,170,85,--
306,State Street Syntel,3.7,2k,11.1k,58,--,--
307,BlackBuck,3.9,2k,5.9k,137,41,11
308,TVS Supply Chain Solutions,4.0,2k,8k,96,8,9
309,Britannia,4.1,2k,7.1k,123,10,5
310,Micro Labs,3.7,2k,8.8k,83,7,2
311,Fiserv,3.7,2k,18.4k,106,20,11
312,KFintech,3.7,2k,9.4k,95,4,1
313,Voltas,4.1,1.9k,7.6k,92,10,1
314,Sterlite Technologies,3.8,2k,10.3k,132,67,7
315,Shree Cement,4.0,1.9k,8.5k,115,--,10
316,Kyndryl,4.1,2k,17k,102,10,24
317,Exide Industries,3.6,1.9k,7.1k,124,99,4
318,Ola Cabs,3.5,1.9k,10.8k,114,20,10
319,Yazaki,3.9,1.9k,7.4k,98,3,1
320,Radisson Hotels,4.1,1.9k,5.7k,48,4,8
321,Dalmia Bharat Cement,4.1,1.9k,7.6k,112,4,11
322,Himalaya Wellness,4.2,1.9k,5.9k,68,17,7
323,Quest Global,3.7,1.9k,17.5k,186,110,--
324,Lifestyle,4.4,1.9k,6.8k,54,9,3
325,IKS Health,3.6,1.9k,9k,153,27,--
326,Eureka Forbes,3.9,1.9k,5.5k,50,3,1
327,Ajanta Pharma,4.1,1.9k,8k,88,17,6
328,Blue Star,4.1,1.9k,8.4k,111,18,18
329,ACT Fibernet,4.0,1.9k,6.8k,92,34,10
330,Motilal Oswal Financial Services,3.8,1.9k,9.4k,130,95,10
331,XpressBees,3.8,1.9k,6.8k,120,53,6
332,Aditya Birla Group,4.1,1.8k,10.2k,135,2,3
333,Sonalika Tractors,3.8,1.9k,7.7k,101,13,1
334,Extramarks Education,3.5,1.8k,8.7k,147,77,2
335,DS Group,4.1,1.9k,5.5k,87,27,4
336,Nokia Networks,4.3,1.8k,8.3k,93,41,--
337,Life Insurance Corporation of India,4.4,1.8k,4.1k,60,7,6
338,Mahindra Rural Housing Finance,4.1,1.8k,4.8k,64,34,1
339,Cholamandalam MS General Insurance,3.9,1.8k,5.4k,67,1,5
340,Zomato,3.8,1.8k,11.8k,205,11,12
341,Mahindra Logistics,4.1,1.8k,7.8k,89,36,8
342,Delhi Public School,3.9,1.8k,5.2k,95,115,4
343,Indus Towers,4.0,1.8k,7.1k,124,28,8
344,PVR Cinemas,4.1,1.8k,5.5k,67,62,--
345,Future Retail,4.3,1.8k,5.6k,46,--,--
346,JMC Projects,4.2,1.8k,5.5k,80,1,3
347,Ninjacart,4.1,1.8k,5.6k,79,13,23
348,Emcure Pharmaceuticals,3.8,1.8k,8k,88,51,11
349,Rivigo,3.9,1.8k,6.8k,67,7,9
350,SRF,4.3,1.8k,7.4k,121,26,1
351,Myntra,4.0,1.8k,8.8k,131,8,14
352,V-Mart,4.3,1.8k,3.8k,103,31,3
353,Kalpataru Power Transmission,4.2,1.8k,6.1k,96,1,8
354,Parle Agro,4.2,1.8k,6.1k,81,11,--
355,Datamatics Global Services,3.6,1.8k,11k,111,51,5
356,Movate,3.4,1.8k,12.9k,195,62,2
357,Kansai Nerolac Paints,3.9,1.8k,6.3k,105,77,2
358,Renault-Nissan,4.1,1.7k,8k,63,--,8
359,Pfizer,4.1,1.7k,5.7k,54,41,6
360,Tata Teleservices,4.1,1.7k,4.5k,27,1,3
361,Fujitsu,3.9,1.7k,14.9k,120,137,13
362,Mahindra Holidays & Resorts,3.6,1.7k,5.7k,73,110,16
363,VVDN Technologies,3.7,1.7k,9.9k,121,28,12
364,Indian Railways,4.2,1.7k,3.1k,73,--,16
365,MSN Laboratories,3.8,1.7k,7.1k,78,27,7
366,3i Infotech,3.6,1.7k,10.4k,103,129,1
367,BHEL,4.2,1.7k,5k,85,--,8
368,KPMG Global Services,3.7,1.7k,4.2k,131,--,--
369,Raymond,4.1,1.7k,6.9k,71,2,--
370,ICICI Securities,3.8,1.7k,8.6k,106,17,3
371,Reliance Trends,4.4,1.7k,4.2k,83,--,3
372,Blinkit,3.9,1.7k,7.9k,114,6,14
373,Cybage,4.0,1.7k,16.9k,131,74,4
374,Ambuja Cements,4.0,1.7k,5.8k,82,--,5
375,JCB,4.0,1.7k,8.3k,90,--,3
376,Cadila Pharmaceuticals,3.6,1.7k,6.8k,81,6,5
377,suzuki motor gujarat,4.3,1.7k,6.3k,119,80,1
378,Info Edge,4.1,1.7k,10.1k,214,381,17
379,Shell,4.3,1.7k,12.2k,134,--,7
380,GlaxoSmithKline Pharmaceuticals,4.1,1.7k,4.9k,76,34,1
381,Foundever,3.8,1.7k,6.1k,86,117,13
382,Poonawalla Fincorp,3.9,1.6k,4.8k,38,35,--
383,ZS,3.5,1.7k,15.8k,257,31,18
384,PhonePe,4.1,1.7k,8.2k,161,120,4
385,Whirlpool,4.1,1.6k,7.6k,65,12,9
386,Bharat Petroleum,4.2,1.6k,6.3k,118,--,5
387,Tata Elxsi,4.1,1.6k,16.1k,204,179,5
388,Jindal Stainless,4.3,1.6k,8.4k,113,3,10
389,Endurance Technologies,3.9,1.6k,7.1k,76,2,--
390,NoBroker,3.2,1.6k,7.6k,157,320,4
391,Force Motors,3.6,1.6k,7.5k,93,--,3
392,ITC Hotels,4.2,1.6k,5.2k,59,--,3
393,Fincare Small Finance Bank,4.1,1.6k,6.1k,76,--,4
394,Shahi Exports,4.1,1.6k,6.7k,82,47,22
395,GVK Emergency Management and Research Institute,3.7,1.6k,4.1k,62,30,--
396,Syngene International,4.0,1.6k,10.7k,118,12,6
397,Delphi TVS,4.1,1.6k,5.3k,65,--,--
398,Bharti AXA Life Insurance,3.9,1.6k,4.9k,96,1,1
399,Kalyan Jewellers,4.7,1.6k,1.3k,39,19,2
400,Sobha,4.0,1.6k,7.6k,78,32,--
401,Care Health Insurance,3.7,1.6k,7.2k,86,2,1
402,Brakes India,4.1,1.6k,6.4k,57,6,2
403,Lodha group,4.1,1.6k,7.4k,84,85,7
404,Aavas Financiers,4.0,1.6k,5.3k,71,81,4
405,HCL Infosystems,4.0,1.6k,9.3k,130,2,--
406,Citicorp,3.7,1.6k,19.5k,186,30,6
407,Sterling & Wilson,4.1,1.6k,7.9k,52,10,3
408,Dhani Loans and Services,3.9,1.6k,5.2k,62,--,1
409,Bureau Veritas,4.0,1.6k,7.2k,70,29,14
410,CAMS,3.7,1.6k,7k,83,28,6
411,Sopra Steria,4.0,1.6k,13.6k,86,56,6
412,KENT RO Systems,4.1,1.6k,4.4k,60,7,17
413,Gallagher,3.9,1.6k,10.3k,136,60,1
414,Unacademy,3.3,1.6k,8.8k,145,53,35
415,Varroc Group,3.8,1.5k,6.1k,102,172,4
416,Coromandel International,4.1,1.5k,6.5k,74,6,--
417,Future Generali India Life Insurance,3.8,1.5k,6.7k,70,117,2
418,Allsec Technologies,4.1,1.5k,6.2k,87,10,26
419,Canara HSBC Life Insurance,3.8,1.5k,5.6k,69,14,2
420,Cisco,4.3,1.5k,18k,247,--,15
421,Tata Motors Finance,4.2,1.5k,4.4k,55,35,11
422,RMSI,3.8,1.5k,7.1k,66,17,--
423,Power Mech Projects,3.9,1.5k,6k,80,--,4
424,Star Health & Allied Insurance,3.8,1.5k,7k,65,37,3
425,café Coffee day,4.0,1.5k,4.2k,39,13,2
426,Adani Wilmar,4.2,1.5k,5.6k,72,7,6
427,IntouchCX,3.0,1.5k,6.7k,118,96,16
428,JK Tyres,3.8,1.5k,6.2k,68,2,2
429,Gabriel India,4.2,1.5k,5.3k,68,--,--
430,KIA MOTORS,3.9,1.5k,6.5k,89,1,11
431,Straive,3.5,1.5k,8.1k,124,65,15
432,DBS Bank,3.9,1.5k,11.7k,101,28,6
433,Lucas-TVS,4.0,1.5k,5.5k,61,11,4
434,Bank of Baroda,3.6,1.5k,6.1k,75,--,12
435,Planet Spark,3.8,1.5k,2.5k,266,95,1
436,Laurus Labs,4.2,1.5k,6.2k,84,8,9
437,Sify Technologies,4.0,1.5k,8.9k,90,12,3
438,Hero FinCorp,4.2,1.5k,4.5k,65,21,--
439,Hindustan Aeronautics,4.4,1.5k,3.9k,53,--,2
440,ValueLabs,3.9,1.5k,14.9k,116,43,11
441,Adani Power,3.9,1.5k,7.4k,153,--,4
442,Indian Navy,4.6,1.5k,3.3k,17,--,--
443,Parle Products,4.0,1.5k,4k,63,5,--
444,ABC,3.9,1.5k,39.2k,315,15,--
445,Thomson Reuters,4.2,1.5k,10.4k,62,7,--
446,Akums Drugs & Pharmaceuticals Limited,4.1,1.5k,5.6k,87,13,18
447,upGrad,3.8,1.5k,7k,140,141,18
448,ESAF Microfinance & Investments (P),3.9,1.5k,6.1k,83,24,8
449,Taurus BPO Services,4.6,1.4k,667,15,--,6
450,Uflex,3.8,1.4k,6.2k,79,20,8
451,Intellect Design Arena,4.1,1.5k,11.4k,84,6,8
452,AECOM,4.3,1.4k,5.8k,89,--,13
453,SAP,4.3,1.5k,14.8k,202,142,12
454,TVS Sundram Fasteners,3.8,1.4k,6.2k,46,--,2
455,Citibank,4.0,1.5k,15.8k,122,6,6
456,CMA CGM,4.1,1.4k,8.8k,75,8,9
457,Cargill,4.2,1.4k,6.9k,73,141,7
458,Google,4.4,1.5k,21.2k,456,1,16
459,Microsoft Corporation,4.1,1.4k,23.1k,387,785,5
460,IDBI Bank,3.7,1.4k,5.8k,47,--,5
461,SGS,4.0,1.4k,5.7k,69,174,--
